b1da7d6e6779a6a373685786e6d1afd3dd5e1ac0|2026-04-21|chore: v1.83.3 upgrade planning scaffolding
23cd7b59b82b22385652acd4aca319fd54f7040e|2026-04-21|chore: v1.83.3 upgrade Phase 2 audit complete
0cb462385a0d618eb17e8326d626c66042e2af9a|2026-04-21|fix: correct #46/#48 audit — #48 is not pure revert, keeps it
96dc09b433bffe59da225d50ea4233f6cb041e1c|2026-04-21|chore: lock in 4 design decisions from 2026-04-21 review
eb8b52dc61f39102281bd20c0f7f802e069246f5|2026-04-21|chore: Phase 3 dry-run findings — conflict scale much smaller than estimated
86274430e7bddc4b82779fd85ab6426352a49218|2026-01-29|dropping prompt-caching-scope-* header for v1/messages for claude code compatibility (#41)
bf3e3d57bbdef78e73791b8797b5b843d5b3a408|2026-01-29|Dropping prompt caching scope header (#42)
c58efff732962cc8a57fee9c8ec299162ea7368e|2026-01-29|Dropping prompt caching scope header (#43)
3119333b2ed3d40f4cc7dfcdbf164f64ce93ba46|2026-01-29|Dropping prompt caching scope header (#44)
617e44d4c6f3f4d85bc36ce36d58956c7c6b11c3|2026-02-25|Hotfix/reasoning field prod (#80)
12631609b34072b2f60db2e872df1f6c568516a4|2026-04-22|chore: record batch 01 replay — #134 is effective DROP (upstream has it)
435f5efb2e4372e546306953194084c8f82e49ab|2026-04-22|fix(vertex-anthropic): add missing Dict import for get_anthropic_beta_from_headers
465078f14fc514325e7791ccbf5985d26ac659c5|2025-12-22|feat: Added custom model contexts
bc05e59409f77140fa8ad4bdd562c12cc6aef9ab|2025-12-22|feat: Added custom model contexts
1d7dc3db4a3f10b51e186be431f4d9469a80fcde|2025-12-24|Modified custom model contexts- added public names (#6)
3ee6a31471ec549b4c5bb4bdc378313a770ca0ad|2026-01-07|jenkins file
d9907c1397434dcc18e212afd164386a3464ad42|2026-02-13|added sandbox branch for gcr push (#61)
91a03a97fc133f36d25a696a665deb22ceaef0e9|2026-03-02|build file changes for trunk based dev (#85)
1775cb36c96e0eb920cc266ecd183ff91cdaf3ad|2026-03-25|bumping up prisma version (#113)
b95d4d3b6e1f5370207c20307426a22371fd3853|2026-04-17|Playground integration (#124)
5d013d720b311152ba8c18ee30e7a6df3daeb4a9|2026-04-19|XYNE-123: overlay local litellm-proxy-extras over PyPI wheel (#130)
51ea5a7d8e28c851546d9ce5056986bde27545de|2026-04-19|XYNE-123: build litellm-proxy-extras from source in GCR images (#131)
13a2ca56472f90606635825d04158c24d80c30a1|2026-04-20|XYNE-123: switch playground booking API to seat-selection schema (#132)
f2414d6688d5a88877b4ab53d565dd4f6e5c157a|2026-04-20|XYNE-123: let users retry failed/cancelled playground bookings (#133)
cfb0f67734a55176c4da5effbdbd8036ea23fbcf|2025-12-04|feat: Add GCP Logs stdout logger for structured JSON logging
3b1794dc37cd3aeab50e48fabe5592905e47f250|2025-12-15|added gcp logging support to service logger, updated_at for reset budget job
b54597cf4a69771e46127b8049adf6c98224f9c7|2025-12-23|feat: added gcs-logging to store all user request and response (#2)
369f00a21011a9d2c7668682c4bf829a743d0da3|2025-12-30|directory structure change for gcs logger (#8)
8dee0caafc1bd44c16112750fbdce8dc0303bee7|2025-12-31|directory structure change for gcs logger (#9)
bfffe823712603bed412411ab7ba8055018cb6de|2026-01-05|fix: fixed the issue in anthropic compatible logs (#10)
1e9496d9fb35614bfba7fb3a6d63a81a4ad71a7a|2026-01-05|bq fixes (#11)
99cc5a6627063fdf9dc8cfaf783efb71904d3de2|2026-01-12|Add Log client headers (#17)
31c205118928bf234192f09152925acc310a42b0|2026-01-28|logging-full-req-in-error-logs (#38)
a65a6c0c77188f3d3a678c1606d7edf244274468|2026-02-03|bug: fix null email issue (#49)
216ccb072dc2b8eaba31756df22d90b06988a7ca|2026-02-06|disabling gcs logging in the case when x-litellm-disable-logging: true header is present (#54)
64353dad9ab4569e9103dec703c2dbfba856b55d|2026-04-07|Fix/big queries (#122)
5cdd6044999578d1592fa20c708119aa99b6ae34|2026-04-22|chore: batch-02 replay — defer #127/#135 to batch-06 (file-creation dependency)
c271e49ce9862e38a0353a4d3a82bb8dcec6067f|2025-12-05|feature: user budget restriction
2ec95c2e694f2089406d59c8bc7741928bc92171|2025-12-09|patch litellm for cost restriction based on user spend and max budget
a23cb8701e0079fe506309e3e3705368e35041b2|2025-12-11|removing debug print logs for cost restriction
5436d63f4068393757daac4fd5463434e3f92aa1|2025-12-15|removed a debug log line
a87d0a4f6f768e27f7c5b188c5e81474635ac873|2026-03-17|models endpoints budget bypass fix (#106)
26374667f54fb2c866b02dcd634b378e28b151fe|2026-02-25|added bulk cost update endpoint  (#75) (#79)
bb05103e1e8cc39ae4b1b6be1bd036406e395a6d|2026-03-16|implemented new team update endpoint as the old one has premium featu… (#97)
1bdee55eed0fb088848a8dac9d0b9f5ed9e60912|2026-04-16|feat: allow specific non-admin users to call /user/delete via USER_DE… (#128)
